benchmark	cohort	position	lane	duration_ns	status	stdout_sha256	binary_sha256
await_channel_mux	17	3	baseline	231664803	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	18	1	go	4555984	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	18	2	baseline	225923873	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	18	3	candidate	243022025	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	19	1	baseline	222220339	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	19	2	candidate	229798765	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	19	3	go	4912294	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	20	1	candidate	217779079	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	20	2	go	4774549	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	20	3	baseline	303413518	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	21	1	go	5402429	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	21	2	baseline	243147503	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	21	3	candidate	227491948	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
mutex_await_journal	1	1	baseline	437871393	ok	e6f87830a6a1bb1bf3889a6b77eae053bfd3630055a06dd8fd500201586bf61e	ace262ffb38ab59c84807c1c26411ca00100c99782ca0b40a5e1ee8216e4e991
